,geo_code,Income (F),Government Transfer (F)
1117,35251008,40832,3512
1118,35251009,41600,2456
1119,35251010,43648,2648
1120,35251011,40405,4208
1121,35251012,28992,2920
1122,35251013,28032,2059
1123,35251014,40064,3448
1124,35251015,37376,3044
1125,35251016,32832,2032
1126,35251017,32224,2648
1127,35251018,29888,5616
1128,35251019,36480,2520
1129,35251020,34432,3608
1130,35251021,36608,2744
1131,35251022,35840,3448
1132,35251023,39168,3384
1133,35251024,39104,4432
1134,35251025,12832,12192
1135,35251026,32064,5008
1136,35260307,40277,5880
1137,35260309,34069,3952
1138,35260310,24576,6648
1139,35260311,36181,6880
1140,35260313,35712,6848
1141,35260314,32736,5456
1142,35260315,23872,6000
1143,35260316,27072,5936
1144,35260317,25664,6848
1145,35260318,26176,6480
1146,35260319,33472,8896
