geo_code,,in labour force,not in labour force,employed,unemployed
35250269,male,55,50,50,0
35250270,female,100,55,95,10
35250270,male,80,40,75,0
35250271,female,90,50,85,10
35250271,male,115,85,110,10
35250272,female,45,165,45,0
35250272,male,75,80,65,15
35250273,female,85,90,70,10
35250273,male,120,45,100,20
35250274,female,270,135,265,10
35250274,male,275,80,260,15
35250275,female,100,100,100,0
35250275,male,160,80,150,20
35250276,female,155,120,145,15
35250276,male,160,100,145,10
35250277,female,85,120,75,15
35250277,male,75,50,75,0
35250278,female,110,70,110,0
35250278,male,130,60,120,10
35250279,female,155,150,130,30
35250279,male,195,115,170,25
35250280,female,125,65,115,10
35250280,male,110,80,100,10
35250281,female,115,90,100,10
35250281,male,150,60,130,20
35250282,female,135,115,125,0
35250282,male,140,100,135,0
35250283,female,160,125,145,10
35250283,male,135,90,115,20
35250284,female,80,95,70,10
35250284,male,105,85,95,10
35250285,female,195,145,185,10
35250285,male,195,110,185,10
35250286,female,75,95,65,10
35250286,male,65,90,60,0
35250287,female,185,120,185,0
35250287,male,210,100,205,10
35250288,female,105,80,100,10
35250288,male,130,55,120,10
35250289,female,140,95,135,10
35250289,male,175,95,160,15
35250290,female,165,95,160,0
35250290,male,170,110,155,10
35250291,female,285,140,275,10
35250291,male,280,135,270,10
35250293,female,195,220,185,10
35250293,male,285,130,255,30
35250294,female,145,40,140,10
35250294,male,130,70,125,10
35250295,female,100,80,100,0
35250295,male,125,45,115,10
35250296,female,150,90,140,10
35250296,male,100,75,95,0
35250297,female,130,140,125,10
35250297,male,130,120,120,10
35250298,female,135,65,140,0
35250298,male,145,85,140,0
35250299,female,120,135,105,10
35250299,male,180,85,165,15
35250300,female,210,135,205,10
35250300,male,255,115,255,0
35250302,female,85,95,85,0
35250302,male,85,95,75,10
35250303,female,95,125,90,10
35250303,male,95,115,85,0
35250304,female,130,145,130,0
35250304,male,180,90,170,10
35250305,female,130,115,115,15
35250305,male,145,90,135,15
35250306,female,100,65,90,20
35250306,male,110,35,105,0
35250307,female,115,85,110,0
35250307,male,140,60,125,20
35250308,female,300,120,280,20
35250308,male,235,90,235,0
35250309,female,110,55,95,15
35250309,male,95,65,95,0
35250310,female,110,65,100,10
35250310,male,120,70,120,0
35250311,female,185,75,175,10
35250311,male,175,60,160,15
35250312,female,125,50,115,10
