,geo_code,Couples with Children,Couples with 1 Child,Couples with 2 Chidren,Couples with 3 Chidlren
739,35250570,55,30,25,25
740,35250571,70,5,5,5
741,35250572,60,20,40,40
742,35250573,95,70,95,95
743,35250574,35,30,30,30
744,35250578,50,35,35,35
745,35250579,35,20,35,35
746,35250580,20,15,10,10
747,35250581,50,45,65,65
748,35250582,45,35,40,40
749,35250583,35,35,55,55
750,35250585,45,30,35,35
751,35250586,115,75,120,120
752,35250587,35,35,15,15
753,35250588,45,30,25,25
754,35250589,60,45,55,55
755,35250590,40,20,30,30
756,35250591,75,30,65,65
757,35250592,45,40,25,25
758,35250593,30,20,25,25
759,35250594,65,30,35,35
760,35250595,50,30,30,30
761,35250596,60,40,40,40
762,35250597,35,20,15,15
763,35250598,35,25,25,25
764,35250599,80,15,5,5
765,35250600,40,15,25,25
766,35250601,55,15,20,20
767,35250602,50,20,5,5
768,35250603,75,45,45,45
769,35250604,75,25,20,20
770,35250605,30,20,20,20
771,35250606,80,25,25,25
772,35250607,55,25,30,30
773,35250608,20,15,15,15
774,35250609,50,25,30,30
775,35250610,60,20,30,30
776,35250611,45,25,20,20
777,35250612,35,25,35,35
778,35250613,70,50,60,60
779,35250614,35,15,20,20
780,35250615,55,20,25,25
781,35250616,20,15,5,5
782,35250617,30,25,20,20
783,35250618,25,20,15,15
784,35250619,50,25,35,35
785,35250620,30,25,35,35
786,35250621,50,35,45,45
787,35250622,30,20,25,25
788,35250623,45,25,20,20
789,35250624,45,20,15,15
790,35250625,45,20,20,20
791,35250626,60,30,25,25
792,35250627,45,30,40,40
793,35250628,45,15,10,10
794,35250629,90,45,45,45
795,35250630,50,25,35,35
796,35250631,65,30,20,20
797,35250632,70,20,20,20
798,35250633,40,10,10,10
799,35250634,45,15,30,30
800,35250635,35,25,20,20
801,35250636,75,55,65,65
802,35250637,125,65,80,80
803,35250638,20,15,20,20
804,35250639,50,35,45,45
805,35250640,60,20,35,35
806,35250641,35,30,30,30
807,35250642,20,30,25,25
808,35250643,35,35,40,40
809,35250644,40,20,25,25
810,35250645,60,35,40,40
811,35250646,65,40,75,75
812,35250647,45,50,65,65
813,35250648,60,30,65,65
814,35250649,35,30,40,40
815,35250650,25,30,40,40
816,35250651,25,15,25,25
817,35250652,65,35,60,60
818,35250655,155,95,130,130
819,35250656,30,25,30,30
820,35250657,55,35,50,50
821,35250658,40,20,20,20
822,35250659,45,20,30,30
823,35250661,95,65,90,90
824,35250662,120,85,165,165
825,35250663,60,45,50,50
826,35250664,55,20,15,15
827,35250665,60,20,25,25
828,35250666,60,20,30,30
829,35250667,15,10,5,5
830,35250668,25,5,10,10
831,35250669,25,10,5,5
832,35250670,25,10,15,15
833,35250671,15,15,10,10
834,35250672,30,10,10,10
835,35250675,30,15,15,15
836,35250676,35,15,20,20
837,35250677,40,20,30,30
838,35250678,45,15,20,20
839,35250679,55,15,10,10
840,35250680,35,15,10,10
841,35250681,75,25,35,35
842,35250692,35,15,20,20
843,35250693,35,15,5,5
844,35250694,35,15,10,10
845,35250695,20,15,10,10
846,35250696,20,10,5,5
847,35250700,50,25,15,15
848,35250701,35,15,25,25
849,35250702,40,30,15,15
850,35250703,45,15,15,15
851,35250704,45,25,15,15
852,35250705,50,15,20,20
853,35250706,45,15,10,10
854,35250707,35,15,15,15
855,35250708,50,25,20,20
856,35250709,45,25,15,15
857,35250710,40,25,15,15
858,35250711,35,15,25,25
859,35250712,40,20,15,15
860,35250713,45,15,5,5
861,35250714,45,20,20,20
862,35250715,40,30,15,15
863,35250716,50,30,25,25
864,35250717,45,25,10,10
865,35250718,40,20,15,15
866,35250719,45,15,10,10
867,35250720,50,25,20,20
868,35250721,60,15,20,20
869,35250724,60,15,20,20
870,35250725,60,20,20,20
871,35250726,65,35,20,20
872,35250727,30,10,15,15
873,35250728,45,15,25,25
874,35250729,40,15,10,10
875,35250730,55,25,15,15
876,35250731,45,15,15,15
877,35250732,55,20,20,20
878,35250733,65,20,40,40
879,35250734,45,20,20,20
880,35250735,50,30,25,25
881,35250736,60,30,25,25
882,35250737,50,25,25,25
883,35250738,45,35,35,35
884,35250739,50,35,25,25
885,35250740,70,30,25,25
886,35250741,80,30,20,20
887,35250742,50,30,35,35
888,35250743,50,30,20,20
889,35250744,60,35,30,30
890,35250745,60,25,10,10
891,35250746,40,20,10,10
892,35250747,30,15,15,15
893,35250748,45,25,20,20
894,35250749,50,25,25,25
895,35250750,60,20,20,20
896,35250753,45,30,15,15
897,35250754,50,25,15,15
898,35250755,55,20,15,15
899,35250756,60,25,25,25
900,35250757,50,20,10,10
901,35250758,35,10,5,5
902,35250759,70,25,5,5
903,35250760,50,20,20,20
904,35250761,40,35,15,15
905,35250762,55,20,25,25
906,35250763,55,15,15,15
907,35250764,45,20,20,20
908,35250765,55,20,15,15
909,35250766,45,15,15,15
910,35250767,35,20,20,20
911,35250768,50,25,20,20
912,35250769,45,25,5,5
913,35250770,30,30,10,10
914,35250771,45,25,20,20
915,35250772,30,25,20,20
916,35250773,50,25,25,25
917,35250774,40,30,10,10
918,35250775,35,15,10,10
919,35250776,35,20,5,5
920,35250777,50,35,10,10
921,35250778,40,20,15,15
922,35250779,45,25,15,15
923,35250780,40,20,15,15
924,35250781,45,20,10,10
925,35250782,35,20,20,20
926,35250783,40,30,20,20
927,35250784,40,25,25,25
928,35250785,50,20,20,20
929,35250786,55,20,20,20
930,35250787,90,30,20,20
931,35250788,80,20,15,15
932,35250789,60,30,20,20
933,35250790,75,30,25,25
934,35250791,55,25,15,15
935,35250792,45,30,40,40
936,35250793,65,20,25,25
937,35250798,25,5,15,15
938,35250799,40,15,15,15
939,35250800,35,25,15,15
940,35250801,85,30,15,15
941,35250802,55,20,15,15
942,35250803,65,25,10,10
943,35250804,315,145,160,160
944,35250805,130,55,95,95
945,35250806,40,25,40,40
946,35250807,70,55,80,80
947,35250810,110,40,60,60
