,geo_code,household_income
1086,35250974,39808
1087,35250975,33856
1088,35250976,34560
1089,35250978,46128
1090,35250980,36480
1091,35250981,38805
1092,35250982,31317
1093,35250983,36480
1094,35250985,40640
1095,35250986,49920
1096,35250987,36928
1097,35250988,32320
1098,35250989,31648
1099,35250990,24736
1100,35250991,35797
1101,35250992,42453
1102,35250993,0
1103,35250994,44288
1104,35250995,27520
1105,35250996,46482
1106,35250997,40064
1107,35250998,49152
1108,35250999,59840
1109,35251000,39808
1110,35251001,35200
1111,35251002,34176
1112,35251003,53696
1113,35251004,44331
1114,35251005,55296
1115,35251006,50880
1116,35251007,51712
1117,35251008,48256
1118,35251009,44608
1119,35251010,54485
1120,35251011,41856
1121,35251012,36992
1122,35251013,41574
1123,35251014,42624
1124,35251015,42283
1125,35251016,41856
1126,35251017,41120
1127,35251018,27573
1128,35251019,43776
1129,35251020,43819
1130,35251021,45995
1131,35251022,45728
1132,35251023,48512
1133,35251024,47840
1134,35251025,20192
1135,35251026,37952
1136,35260307,51584
1137,35260309,43808
1138,35260310,39040
1139,35260311,43136
1140,35260313,40576
1141,35260314,44224
1142,35260315,38016
1143,35260316,35072
1144,35260317,36736
1145,35260318,37408
1146,35260319,38528
1147,35260320,36480
1148,35260321,27008
1149,35260322,38272
1150,35260323,38912
1151,35260324,39296
1152,35260325,24832
1153,35260326,40320
1154,35260327,54144
1155,35260328,55424
1156,35260330,38528
1157,35260332,43584
1158,35260333,34662
1159,35260334,37120
1160,35260335,48341
1161,35260336,50304
1162,35260337,37888
1163,35260338,45440
1164,35260339,39381
1165,35260340,45568
1166,35260341,36864
1167,35260342,34592
1168,35260734,39648
1169,35260828,34368
1170,35260829,39552
1171,35260830,54272
1172,35260831,42496
1173,35260832,49280
1174,35260833,56448
