,geo_code,In Labour Force (M),Not in Labour Force (M),Employed (M),Unemployed (M)
1333,35250493,115,45,95,20
1335,35250494,115,55,110,0
1337,35250495,115,85,105,10
1339,35250496,65,70,60,10
1341,35250497,190,55,160,35
1343,35250498,170,100,150,15
1345,35250499,160,60,150,10
1347,35250501,135,70,120,10
1349,35250502,165,55,150,10
1351,35250503,185,45,170,10
1353,35250504,125,125,115,0
1355,35250506,135,35,115,20
1357,35250507,130,45,120,10
1359,35250508,150,45,150,0
1361,35250509,190,60,175,15
1363,35250510,155,25,150,10
1365,35250511,180,80,180,0
1367,35250512,90,50,90,10
1369,35250513,170,75,165,0
1371,35250514,275,90,255,20
1373,35250515,100,50,100,10
1375,35250516,235,95,225,15
1377,35250517,90,45,85,10
1379,35250518,85,55,80,10
1381,35250519,180,125,155,30
1383,35250520,220,70,205,15
1385,35250521,175,105,170,10
1387,35250522,60,40,50,0
1389,35250523,120,80,110,10
1391,35250524,80,60,70,10
1393,35250525,95,55,90,0
1395,35250526,225,185,185,40
1397,35250527,135,55,120,15
1399,35250528,85,90,85,0
1401,35250529,110,50,70,40
1403,35250530,120,65,115,10
1405,35250531,145,60,135,10
1407,35250532,115,55,110,0
1409,35250533,190,130,180,0
1411,35250534,135,70,125,0
1413,35250535,110,90,105,10
1415,35250536,140,65,125,10
1417,35250537,195,95,180,15
1419,35250538,160,125,140,20
1421,35250539,200,65,170,25
1423,35250540,155,130,145,10
1425,35250541,125,75,115,10
1427,35250542,125,80,120,10
1429,35250545,85,70,85,0
1431,35250546,115,70,100,15
1433,35250547,130,60,120,10
1435,35250548,140,130,130,15
1437,35250549,120,60,115,0
1439,35250550,110,55,105,0
1441,35250551,120,75,120,0
1443,35250552,90,45,85,10
1445,35250553,140,95,125,20
1447,35250554,140,45,130,10
1449,35250555,125,55,100,20
1451,35250556,210,65,185,20
1453,35250557,175,65,145,30
1455,35250558,150,45,145,10
1457,35250559,115,85,105,10
1459,35250560,130,95,110,20
1461,35250561,100,55,85,10
1463,35250562,155,70,135,15
1465,35250563,155,65,145,10
1467,35250564,135,110,115,25
1469,35250565,270,90,270,0
1471,35250566,125,60,115,10
1473,35250567,155,80,150,10
1475,35250568,180,60,160,20
1477,35250569,85,85,85,10
1479,35250570,80,100,70,10
1481,35250571,40,110,35,0
1483,35250572,150,85,135,10
1485,35250573,295,195,270,30
1487,35250574,120,40,105,15
1489,35250578,195,65,195,0
1491,35250579,160,30,155,10
1493,35250580,45,25,40,0
1495,35250581,205,65,205,10
1497,35250582,160,90,145,20
1499,35250583,180,45,165,15
1501,35250585,190,100,180,15
1503,35250586,385,140,370,20
1505,35250587,90,50,85,10
1507,35250588,110,80,100,10
1509,35250589,205,70,195,15
1511,35250590,100,60,90,10
1513,35250591,215,90,200,15
1515,35250592,155,55,140,15
1517,35250593,85,60,80,0
1519,35250594,130,80,120,10
1521,35250595,125,85,115,10
1523,35250596,180,45,165,10
1525,35250597,135,50,105,35
1527,35250598,120,55,115,0
1529,35250599,75,110,65,10
1531,35250600,130,30,110,20
1533,35250601,75,95,80,0
1535,35250602,70,125,65,10
1537,35250603,200,125,170,30
1539,35250604,130,85,110,15
1541,35250605,80,80,75,10
1543,35250606,110,100,100,10
1545,35250607,140,55,145,0
