,geo_code,median total income of couple economic families with children in 2015 ($),average family size of couple economic families with children
936,35250793,107776,4.2
937,35250798,80896,4.0
938,35250799,73472,4.1
939,35250800,80384,4.0
940,35250801,94464,4.0
941,35250802,96000,3.6
942,35250803,129536,3.6
943,35250804,117504,3.9
944,35250805,122240,4.2
945,35250806,136704,4.1
946,35250807,140672,4.1
947,35250810,167424,4.1
948,35250812,135680,3.8
949,35250813,128896,4.2
950,35250814,119040,4.2
951,35250815,127915,4.0
952,35250826,172544,3.8
953,35250827,93952,3.5
954,35250828,139008,3.7
955,35250829,108800,3.6
956,35250830,103936,3.6
957,35250831,100608,3.4
958,35250832,0,4.0
959,35250833,117632,3.8
960,35250834,125696,3.8
961,35250835,127232,3.6
962,35250836,107520,3.7
963,35250843,106240,4.3
964,35250845,52821,4.0
965,35250846,71680,3.9
966,35250847,55680,5.0
967,35250848,142848,4.0
968,35250849,119808,4.0
969,35250850,89856,3.9
970,35250851,55936,4.2
971,35250852,59776,3.9
972,35250853,46464,4.5
973,35250854,53376,3.9
974,35250855,49749,4.2
975,35250857,95488,3.8
976,35250859,127744,4.0
977,35250860,113459,4.3
978,35250861,112896,4.4
979,35250862,152064,4.2
980,35250863,154112,4.3
981,35250864,142336,4.3
982,35250865,164864,4.0
983,35250866,136704,4.0
984,35250867,159232,4.2
985,35250868,166912,4.1
986,35250869,206848,3.8
987,35250870,241664,4.2
988,35250871,171008,3.8
989,35250872,229888,4.1
990,35250873,170496,4.2
991,35250874,157952,4.2
992,35250875,160256,4.0
993,35250876,151040,4.2
994,35250877,146944,4.1
995,35250878,164096,4.2
996,35250879,143616,4.0
997,35250880,118784,4.0
998,35250881,106752,3.9
999,35250882,160512,4.0
1000,35250883,124672,4.1
1001,35250884,185856,4.0
1002,35250885,156672,4.0
1003,35250886,139264,4.1
1004,35250887,154880,3.9
1005,35250888,155904,3.9
1006,35250889,127232,3.9
1007,35250890,146432,3.9
1008,35250891,165888,4.0
1009,35250892,126720,3.9
1010,35250893,146944,4.0
1011,35250894,135680,3.9
1012,35250895,132608,4.2
1013,35250896,123136,4.1
1014,35250897,136192,4.1
1015,35250898,126208,4.2
1016,35250899,129792,4.1
1017,35250900,144640,4.0
1018,35250901,139776,4.3
1019,35250902,137728,4.5
1020,35250903,123648,4.3
1021,35250904,143872,4.5
1022,35250905,129280,4.5
1023,35250906,193024,4.2
1024,35250907,165888,4.9
1025,35250908,132608,4.6
1026,35250909,139776,4.2
1027,35250910,157184,4.3
1028,35250911,165888,4.0
1029,35250912,171264,4.2
1030,35250913,108288,4.2
1031,35250914,152576,4.2
1032,35250918,121856,3.2
1033,35250919,148480,4.2
1034,35250920,153344,4.1
1035,35250921,106752,4.4
1036,35250922,124928,4.4
1037,35250923,133632,3.9
1038,35250924,120149,3.8
1039,35250925,124672,4.1
1040,35250928,107776,4.4
1041,35250929,141312,4.3
1042,35250930,141824,4.2
1043,35250931,133632,4.3
1044,35250932,149504,3.8
1045,35250933,155136,4.4
1046,35250934,152064,4.1
1047,35250935,103424,3.8
1048,35250936,168448,4.0
1049,35250937,157696,4.1
1050,35250938,144896,4.0
1051,35250939,184320,3.9
1052,35250940,145920,3.8
1053,35250941,145920,4.2
1054,35250942,116480,4.2
1055,35250943,146944,3.8
1056,35250944,156160,4.1
1057,35250945,148480,3.8
