,geo_code,1 to 4 rooms,5 rooms,6 rooms,7 rooms,8 or more rooms
819,35250656,10,40,55,25,55
820,35250657,10,40,30,30,105
821,35250658,0,0,0,20,80
822,35250659,10,30,25,35,85
823,35250661,20,35,75,95,170
824,35250662,20,80,70,105,270
825,35250663,10,25,45,60,95
826,35250664,10,10,50,20,90
827,35250665,10,20,30,45,75
828,35250666,10,0,45,25,95
829,35250667,15,15,30,10,20
830,35250668,70,10,15,20,60
831,35250669,10,15,30,20,55
832,35250670,10,10,15,20,50
833,35250671,35,20,30,0,60
834,35250672,20,10,35,35,65
835,35250675,30,25,40,15,90
836,35250676,20,15,30,35,45
837,35250677,10,10,15,25,115
838,35250678,0,0,0,15,150
839,35250679,50,25,30,15,95
840,35250680,15,15,50,20,75
841,35250681,20,55,25,35,170
842,35250692,10,60,20,50,35
843,35250693,45,30,25,20,30
844,35250694,40,30,40,35,30
845,35250695,65,25,20,15,25
846,35250696,40,15,50,15,30
847,35250700,70,40,25,25,45
848,35250701,20,15,35,55,80
849,35250702,20,25,55,30,75
850,35250703,30,35,55,50,35
851,35250704,40,25,55,35,90
852,35250705,20,35,50,50,65
853,35250706,25,25,65,50,35
854,35250707,15,30,40,30,45
855,35250708,85,55,70,35,50
856,35250709,25,25,60,45,50
857,35250710,45,30,50,45,20
858,35250711,30,25,45,25,35
