geo_code,,"under $10,000 (including loss)","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $149,999","$150,000 and over"
35240536,female,25,70,70,45,25,30,20,10,5,10,5,5
35240536,male,25,35,55,35,30,25,15,20,15,10,25,5
35240537,female,40,30,40,30,30,15,15,15,5,10,10,5
35240537,male,20,25,25,25,25,20,30,5,15,10,30,10
35240538,female,70,105,65,60,35,30,25,15,5,5,15,5
35240538,male,45,60,45,20,35,35,15,20,10,15,20,5
35240539,female,35,45,35,40,50,40,35,30,15,20,15,5
35240539,male,30,25,30,25,30,35,25,20,25,15,25,20
35240540,female,25,30,15,20,20,15,15,10,10,5,10,5
35240540,male,20,20,15,10,15,10,15,10,10,10,25,10
35240541,female,25,25,20,15,15,10,5,10,0,5,10,0
35240541,male,25,15,15,10,10,10,15,15,10,10,25,15
35240542,female,25,45,30,25,20,20,20,15,10,15,10,5
35240542,male,10,15,15,15,15,25,15,20,20,10,25,0
35240543,female,30,40,50,20,30,20,10,10,10,5,15,5
35240543,male,25,25,20,20,25,15,10,15,10,5,25,25
35240544,female,40,50,25,30,20,15,15,10,5,5,15,5
35240544,male,40,25,30,20,5,10,5,15,10,5,20,20
35240545,female,65,50,45,55,35,35,25,20,25,15,30,20
35240545,male,30,25,30,30,20,30,20,15,25,25,55,50
35240546,female,50,55,45,60,35,30,20,5,5,0,5,0
35240546,male,35,40,40,35,40,25,15,10,10,5,10,0
35240590,female,45,75,100,70,60,40,25,15,15,10,25,15
35240590,male,40,40,50,70,50,40,30,25,10,10,35,25
35240591,female,60,85,70,80,55,30,35,20,15,5,20,10
35240591,male,50,70,70,75,45,40,30,20,15,10,20,25
35240592,female,145,175,165,120,80,50,30,10,5,10,5,0
35240592,male,95,120,125,100,80,80,50,35,25,15,15,5
35240593,female,90,90,70,50,65,45,35,20,20,25,25,10
35240593,male,60,65,40,60,45,45,40,50,20,25,60,25
35240594,female,60,55,60,45,45,25,15,5,10,5,5,0
35240594,male,50,50,55,40,55,25,25,15,15,10,20,5
35240595,female,60,95,110,60,55,30,15,25,10,10,15,5
35240595,male,45,45,55,55,35,35,15,20,10,10,25,5
35240596,female,45,140,120,110,75,65,45,35,20,15,30,10
35240596,male,40,60,60,75,70,55,35,35,20,15,50,30
35240598,female,130,200,185,155,135,90,80,40,35,30,50,15
35240598,male,55,110,90,105,105,80,60,60,45,30,70,30
35240641,female,35,35,20,20,15,20,15,5,5,5,20,20
35240641,male,25,25,15,20,15,5,10,10,15,15,25,45
35240642,female,20,25,20,10,20,15,10,10,5,15,15,20
35240642,male,35,15,10,10,15,10,15,10,10,5,25,45
35240643,female,55,40,30,20,20,20,10,15,10,10,20,15
35240643,male,25,30,30,25,15,25,10,15,10,20,30,35
35240644,female,35,45,20,30,15,15,15,15,5,5,25,10
35240644,male,25,30,20,20,15,20,15,15,5,5,25,30
35240645,female,25,35,25,25,15,10,15,5,5,5,15,30
35240645,male,30,20,20,20,15,10,10,10,10,5,25,35
35240647,female,40,50,30,30,20,20,20,5,5,15,20,10
35240647,male,20,25,30,20,20,20,5,20,5,10,35,35
