,geo_code,1960 or before,1961 to 1980,1981 to 1990,1991 to 2000,2001 to 2005,2006 to 2010,2011 to 2016
439,35250254,130,160,30,10,0,0,0
440,35250255,85,135,15,0,10,0,0
441,35250256,140,60,20,35,45,0,0
442,35250257,200,170,15,10,0,0,0
443,35250258,155,170,95,15,0,0,0
444,35250259,110,85,0,0,0,0,10
445,35250260,65,260,10,0,0,0,0
446,35250261,75,145,40,15,0,0,0
447,35250262,20,160,10,20,55,30,0
448,35250263,15,0,135,35,105,0,0
449,35250264,0,10,95,20,0,0,0
450,35250265,10,85,55,10,10,0,0
451,35250266,0,125,10,0,0,0,0
452,35250267,160,40,0,0,0,0,0
453,35250269,10,25,50,0,0,0,0
454,35250270,0,60,55,0,0,0,0
455,35250271,10,115,10,10,0,0,0
456,35250272,50,90,55,15,0,0,10
457,35250273,20,75,35,0,0,0,0
458,35250274,35,170,95,25,0,50,10
459,35250275,75,60,15,10,10,10,0
460,35250276,140,65,0,10,10,10,10
461,35250277,25,135,10,0,0,0,0
462,35250278,130,25,0,0,0,0,0
463,35250279,10,100,70,55,10,0,0
464,35250280,0,120,20,0,0,0,0
465,35250281,15,150,10,15,0,0,0
466,35250282,35,80,70,15,0,0,0
467,35250283,50,145,10,20,0,0,0
468,35250284,15,115,10,0,0,0,0
469,35250285,0,45,90,60,55,15,55
470,35250286,0,95,30,0,0,0,0
471,35250287,15,40,130,25,0,30,0
472,35250288,30,80,20,15,0,10,0
473,35250289,50,80,35,15,10,10,15
474,35250290,70,50,75,10,0,0,10
475,35250291,40,70,45,35,120,20,10
476,35250293,0,85,180,115,10,10,0
477,35250294,10,35,80,20,0,0,0
478,35250295,0,55,50,20,0,0,0
479,35250296,10,60,110,0,0,0,0
480,35250297,0,0,130,40,20,10,10
481,35250298,0,15,105,35,0,15,0
482,35250299,0,60,115,10,0,0,0
483,35250300,40,105,110,25,0,0,0
484,35250302,35,90,25,10,10,0,10
485,35250303,0,100,85,10,0,0,0
486,35250304,45,90,45,15,10,10,0
487,35250305,25,140,40,0,0,0,0
488,35250306,25,45,25,10,10,10,10
489,35250307,95,35,25,15,0,0,10
490,35250308,10,20,145,105,0,45,0
491,35250309,0,0,60,35,0,0,0
492,35250310,0,10,90,20,0,0,0
493,35250311,0,10,70,125,10,0,0
494,35250312,15,25,80,10,0,0,0
495,35250313,75,35,40,90,50,25,0
496,35250315,30,320,85,10,0,0,0
497,35250316,10,0,15,105,135,15,0
498,35250317,45,20,85,15,10,40,0
499,35250318,10,15,15,0,0,0,0
500,35250319,20,135,25,10,0,0,0
501,35250320,10,135,40,10,0,0,0
502,35250321,115,20,10,0,0,0,0
503,35250322,110,55,10,0,0,0,0
504,35250323,160,45,10,0,0,0,0
505,35250324,155,105,35,10,0,0,0
506,35250326,120,15,0,0,0,0,0
507,35250327,145,80,20,10,0,10,0
508,35250328,95,50,0,0,0,0,10
509,35250329,120,60,15,0,0,0,0
