geo_code,,between 5am and 5:59,between 6am and 6:59,between 7am and 7:59,between 8am and 8:59,between 9am and 11:59,between 12pm and 4:49 am
35250100,male,10,20,40,20,0,15
35250101,female,0,0,35,30,10,10
35250101,male,10,25,20,25,0,35
35250102,female,0,10,10,25,15,0
35250102,male,0,10,25,15,10,20
35250105,female,0,20,35,35,15,0
35250105,male,10,45,30,35,10,25
35250106,female,0,15,20,40,10,10
35250106,male,10,30,10,35,10,15
35250107,female,10,10,45,45,20,20
35250107,male,15,25,15,20,20,30
35250108,female,0,10,20,30,0,0
35250108,male,0,30,25,10,25,30
35250109,female,0,35,35,45,20,15
35250109,male,15,35,35,30,10,0
35250110,female,0,25,30,30,10,20
35250110,male,20,20,20,30,10,35
35250111,female,0,10,30,20,10,20
35250111,male,10,20,15,10,0,15
35250112,female,15,0,25,15,10,0
35250112,male,10,20,25,10,15,10
35250113,female,0,0,25,10,0,20
35250113,male,10,20,25,15,0,40
35250114,female,0,10,25,20,10,0
35250114,male,10,25,20,0,0,20
35250115,female,10,45,70,75,60,80
35250115,male,25,45,55,55,30,115
35250116,female,15,15,40,50,20,65
35250116,male,35,35,25,25,25,35
35250117,female,0,15,15,0,10,20
35250117,male,15,15,15,0,0,10
35250118,female,0,0,40,20,10,35
35250118,male,10,15,25,0,10,20
35250119,female,10,0,30,10,30,25
35250119,male,15,20,30,15,10,20
35250120,female,10,25,40,30,0,15
35250120,male,15,10,40,0,10,30
35250121,female,15,30,40,20,10,45
35250121,male,15,25,10,10,10,20
35250122,female,0,20,10,10,15,10
35250122,male,20,20,15,10,10,10
35250123,female,10,10,15,25,15,15
35250123,male,15,20,20,10,10,40
35250124,female,0,10,15,25,15,35
35250124,male,10,20,10,10,15,30
35250125,female,10,0,25,15,0,20
35250125,male,10,15,10,20,10,15
35250126,female,10,10,25,15,10,40
35250126,male,20,30,25,15,20,30
35250127,female,0,45,110,135,25,70
35250127,male,60,90,110,75,20,45
35250128,female,0,30,15,45,20,15
35250128,male,20,20,45,15,20,25
35250129,female,0,15,15,15,15,15
35250129,male,10,25,10,20,10,15
35250130,female,0,20,30,20,10,20
35250130,male,10,35,20,35,0,0
35250133,female,0,0,0,0,10,0
35250133,male,0,10,0,0,0,0
35250134,female,0,15,25,55,20,25
35250134,male,15,20,40,25,10,40
35250135,female,0,50,155,110,70,60
35250135,male,45,115,100,80,75,35
35250136,female,0,10,25,25,10,20
35250136,male,0,10,25,15,10,0
35250137,female,0,10,15,50,0,15
35250137,male,10,15,20,20,10,10
35250144,female,0,55,130,75,55,40
35250144,male,40,70,100,105,50,45
35250145,female,10,10,30,30,15,25
35250145,male,10,10,40,20,20,10
35250146,female,10,0,35,60,25,15
35250146,male,35,55,55,45,15,15
35250147,female,10,0,30,30,10,0
35250147,male,10,10,25,15,10,0
35250148,female,0,20,30,30,20,20
35250148,male,10,40,45,15,20,25
35250149,female,10,20,40,40,10,15
35250149,male,10,10,35,25,30,25
35250150,female,0,10,50,30,15,15
35250150,male,15,40,20,15,15,20
35250151,female,0,0,45,40,0,10
35250151,male,10,20,20,20,15,15
35250152,female,10,35,45,60,65,50
35250152,male,25,55,85,50,55,45
35250153,female,0,0,55,45,10,10
35250153,male,20,35,40,25,10,25
35250156,female,0,10,30,15,25,0
